correct Prediction 3941
Prediction 5251
TAGS       SCPT       SPT        TKT        P          R          F1        
MD         40         44         46         0.90909  0.86957  0.88889
RBS        0          0          1          0.00000  0.00000  0.00000
PRP        70         99         87         0.70707  0.80460  0.75269
JJS        0          0          9          0.00000  0.00000  0.00000
VBZ        61         81         99         0.75309  0.61616  0.67778
TO         111        147        112        0.75510  0.99107  0.85714
JJR        0          0          10         0.00000  0.00000  0.00000
DT         428        642        435        0.66667  0.98391  0.79480
NNS        157        174        338        0.90230  0.46450  0.61328
JJ         169        312        308        0.54167  0.54870  0.54516
PDT        0          0          1          0.00000  0.00000  0.00000
-RRB-      0          0          1          0.00000  0.00000  0.00000
.          198        198        198        1.00000  1.00000  1.00000
RBR        0          2          6          0.00000  0.00000  0.00000
WP$        0          0          1          0.00000  0.00000  0.00000
WP         10         12         24         0.83333  0.41667  0.55556
RP         1          3          9          0.33333  0.11111  0.16667
''         33         34         36         0.97059  0.91667  0.94286
NN         516        797        668        0.64743  0.77246  0.70444
CD         67         80         152        0.83750  0.44079  0.57759
-LRB-      0          0          1          0.00000  0.00000  0.00000
CC         103        103        115        1.00000  0.89565  0.94495
NNP        367        475        547        0.77263  0.67093  0.71820
VBP        56         60         91         0.93333  0.61538  0.74172
POS        46         49         53         0.93878  0.86792  0.90196
EX         3          3          5          1.00000  0.60000  0.75000
,          235        251        235        0.93625  1.00000  0.96708
$          17         27         17         0.62963  1.00000  0.77273
VBD        122        153        177        0.79739  0.68927  0.73939
VBG        7          9          76         0.77778  0.09211  0.16471
``         33         35         37         0.94286  0.89189  0.91667
-NONE-     311        417        343        0.74580  0.90671  0.81842
PRP$       30         30         35         1.00000  0.85714  0.92308
:          5          5          16         1.00000  0.31250  0.47619
IN         517        666        542        0.77628  0.95387  0.85596
VBN        65         106        107        0.61321  0.60748  0.61033
VB         101        162        125        0.62346  0.80800  0.70383
NNPS       0          0          29         0.00000  0.00000  0.00000
RB         52         58         111        0.89655  0.46847  0.61538
WRB        2          2          14         1.00000  0.14286  0.25000
SYM        0          0          1          0.00000  0.00000  0.00000
WDT        11         15         33         0.73333  0.33333  0.45833
