Freq-Tagger
correct Prediction 4180    Prediction 5251 
Accuracy = .796
TAGS       SCPT       SPT        TKT        P          R          F1        
VBG        32         34         76         0.94118  0.42105  0.58182
RBR        3          10         6          0.30000  0.50000  0.37500
-RRB-      1          1          1          1.00000  1.00000  1.00000
WRB        14         14         14         1.00000  1.00000  1.00000
VBN        40         68         107        0.58824  0.37383  0.45714
WP         24         24         24         1.00000  1.00000  1.00000
IN         536        557        542        0.96230  0.98893  0.97543
,          235        235        235        1.00000  1.00000  1.00000
-NONE-     303        303        343        1.00000  0.88338  0.93808
PRP        86         86         87         1.00000  0.98851  0.99422
NN         639        1528       668        0.41819  0.95659  0.58197
NNPS       11         13         29         0.84615  0.37931  0.52381
MD         45         46         46         0.97826  0.97826  0.97826
CD         95         95         152        1.00000  0.62500  0.76923
JJ         146        164        308        0.89024  0.47403  0.61864
''         36         36         36         1.00000  1.00000  1.00000
$          17         17         17         1.00000  1.00000  1.00000
RP         8          12         9          0.66667  0.88889  0.76190
PDT        0          0          1          0.00000  0.00000  0.00000
-LRB-      1          1          1          1.00000  1.00000  1.00000
VBD        136        161        177        0.84472  0.76836  0.80473
PRP$       35         36         35         0.97222  1.00000  0.98592
WP$        1          1          1          1.00000  1.00000  1.00000
JJS        5          6          9          0.83333  0.55556  0.66667
WDT        16         16         33         1.00000  0.48485  0.65306
``         37         37         37         1.00000  1.00000  1.00000
RBS        0          0          1          0.00000  0.00000  0.00000
JJR        5          9          10         0.55556  0.50000  0.52632
NNS        209        213        338        0.98122  0.61834  0.75862
CC         115        116        115        0.99138  1.00000  0.99567
NNP        267        273        547        0.97802  0.48812  0.65122
VBZ        74         79         99         0.93671  0.74747  0.83146
DT         431        435        435        0.99080  0.99080  0.99080
VBP        59         71         91         0.83099  0.64835  0.72840
EX         5          5          5          1.00000  1.00000  1.00000
:          16         16         16         1.00000  1.00000  1.00000
VB         60         89         125        0.67416  0.48000  0.56075
SYM        0          0          1          0.00000  0.00000  0.00000
POS        53         56         53         0.94643  1.00000  0.97248
TO         111        112        112        0.99107  0.99107  0.99107
.          198        198        198        1.00000  1.00000  1.00000
RB         75         78         111        0.96154  0.67568  0.79365



HMM-MLE
correct Prediction 4407 Prediction 5251
Accuracy: .839
TAGS       SCPT       SPT        TKT        P          R          F1        
VBG        33         35         76         0.94286  0.43421  0.59459
NNP        409        474        547        0.86287  0.74771  0.80118
JJR        5          6          10         0.83333  0.50000  0.62500
JJS        3          4          9          0.75000  0.33333  0.46154
''         36         37         36         0.97297  1.00000  0.98630
WP$        1          1          1          1.00000  1.00000  1.00000
VBP        61         69         91         0.88406  0.67033  0.76250
PRP$       35         35         35         1.00000  1.00000  1.00000
WP         23         23         24         1.00000  0.95833  0.97872
:          16         16         16         1.00000  1.00000  1.00000
RBS        0          0          1          0.00000  0.00000  0.00000
VB         96         125        125        0.76800  0.76800  0.76800
$          17         22         17         0.77273  1.00000  0.87179
PDT        0          0          1          0.00000  0.00000  0.00000
``         37         37         37         1.00000  1.00000  1.00000
IN         531        609        542        0.87192  0.97970  0.92268
VBN        67         101        107        0.66337  0.62617  0.64423
DT         431        560        435        0.76964  0.99080  0.86633
VBZ        77         92         99         0.83696  0.77778  0.80628
,          235        249        235        0.94378  1.00000  0.97107
CD         103        110        152        0.93636  0.67763  0.78626
RBR        5          10         6          0.50000  0.83333  0.62500
WRB        13         13         14         1.00000  0.92857  0.96296
CC         114        115        115        0.99130  0.99130  0.99130
SYM        0          0          1          0.00000  0.00000  0.00000
POS        49         50         53         0.98000  0.92453  0.95146
.          198        199        198        0.99497  1.00000  0.99748
NNS        222        234        338        0.94872  0.65680  0.77622
PRP        86         108        87         0.79630  0.98851  0.88205
WDT        25         30         33         0.83333  0.75758  0.79365
NNPS       7          7          29         1.00000  0.24138  0.38889
NN         566        761        668        0.74376  0.84731  0.79216
RB         77         91         111        0.84615  0.69369  0.76238
-NONE-     332        394        343        0.84264  0.96793  0.90095
JJ         194        283        308        0.68551  0.62987  0.65651
EX         4          4          5          1.00000  0.80000  0.88889
RP         5          8          9          0.62500  0.55556  0.58824
MD         45         54         46         0.83333  0.97826  0.90000
-LRB-      0          0          1          0.00000  0.00000  0.00000
TO         110        114        112        0.96491  0.98214  0.97345
VBD        141        170        177        0.82941  0.79661  0.81268
-RRB-      1          1          1          1.00000  1.00000  1.00000



HMM-LAPLACE
correct Prediction 3941 Prediction 5251
Accuracy: .7505
TAGS       SCPT       SPT        TKT        P          R          F1        
VBP        56         60         91         0.93333  0.61538  0.74172
JJS        0          0          9          0.00000  0.00000  0.00000
-LRB-      0          0          1          0.00000  0.00000  0.00000
WDT        11         15         33         0.73333  0.33333  0.45833
``         33         35         37         0.94286  0.89189  0.91667
$          17         27         17         0.62963  1.00000  0.77273
VBN        65         106        107        0.61321  0.60748  0.61033
RP         1          3          9          0.33333  0.11111  0.16667
-NONE-     311        417        343        0.74580  0.90671  0.81842
-RRB-      0          0          1          0.00000  0.00000  0.00000
RBS        0          0          1          0.00000  0.00000  0.00000
DT         428        642        435        0.66667  0.98391  0.79480
JJ         169        312        308        0.54167  0.54870  0.54516
MD         40         44         46         0.90909  0.86957  0.88889
WP$        0          0          1          0.00000  0.00000  0.00000
RBR        0          2          6          0.00000  0.00000  0.00000
JJR        0          0          10         0.00000  0.00000  0.00000
,          235        251        235        0.93625  1.00000  0.96708
VB         101        162        125        0.62346  0.80800  0.70383
NNP        367        475        547        0.77263  0.67093  0.71820
.          198        198        198        1.00000  1.00000  1.00000
:          5          5          16         1.00000  0.31250  0.47619
WRB        2          2          14         1.00000  0.14286  0.25000
NNS        157        174        338        0.90230  0.46450  0.61328
EX         3          3          5          1.00000  0.60000  0.75000
PRP        70         99         87         0.70707  0.80460  0.75269
''         33         34         36         0.97059  0.91667  0.94286
VBG        7          9          76         0.77778  0.09211  0.16471
NN         516        797        668        0.64743  0.77246  0.70444
PDT        0          0          1          0.00000  0.00000  0.00000
TO         111        147        112        0.75510  0.99107  0.85714
RB         52         58         111        0.89655  0.46847  0.61538
CC         103        103        115        1.00000  0.89565  0.94495
NNPS       0          0          29         0.00000  0.00000  0.00000
IN         517        666        542        0.77628  0.95387  0.85596
POS        46         49         53         0.93878  0.86792  0.90196
SYM        0          0          1          0.00000  0.00000  0.00000
VBZ        61         81         99         0.75309  0.61616  0.67778
CD         67         80         152        0.83750  0.44079  0.57759
PRP$       30         30         35         1.00000  0.85714  0.92308
WP         10         12         24         0.83333  0.41667  0.55556
VBD        122        153        177        0.79739  0.68927  0.73939

